"box_file","home_away","minutes","fgm","fga","3pm","3pa","ftm","fta","dreb","oreb","pf","stl","tover","blk"
"189017.html","away","200","15","47","4","24","6","18","7","17","22","7","14","1"
"189017.html","home","200","19","37","1","10","15","23","3","25","20","6","10","2"
"189018.html","away","200","24","57","9","19","16","26","8","25","31","6","15","3"
"189018.html","home","200","20","53","6","18","35","45","8","26","23","8","9","5"
"189019.html","away","200","15","55","2","21","13","22","11","23","9","4","15","2"
"189019.html","home","200","29","64","7","27","4","5","10","26","19","4","15","4"
"189020.html","away","200","33","61","12","27","4","6","7","24","18","4","12","4"
"189020.html","home","199","34","69","7","24","13","16","14","19","11","7","7","4"
"189021.html","away","200","23","60","5","18","13","20","11","25","20","7","18","0"
"189021.html","home","200","31","64","9","27","8","17","10","20","19","11","9","7"
"189022.html","away","200","24","52","12","27","7","9","5","18","16","4","18","5"
"189022.html","home","200","34","71","11","27","10","18","16","20","16","10","9","5"
"189023.html","away","200","21","65","6","21","10","18","11","22","20","12","17","0"
"189023.html","home","200","27","55","3","13","15","25","7","29","18","12","17","4"
"189024.html","away","200","26","56","10","26","12","15","2","26","18","7","14","2"
"189024.html","home","200","22","52","5","14","10","19","6","28","17","9","19","3"
"189025.html","away","200","22","61","4","23","13","24","6","17","19","5","15","6"
"189025.html","home","200","40","71","18","33","7","14","11","37","20","6","14","2"
"189026.html","away","200","30","64","5","20","21","27","4","24","22","11","19","3"
"189026.html","home","200","29","58","7","22","18","25","10","29","21","6","21","2"
"189027.html","away","200","29","68","8","26","15","20","8","29","19","8","16","4"
"189027.html","home","200","27","76","11","38","15","22","18","25","18","10","19","5"
"189028.html","away","200","16","56","2","25","9","15","4","20","16","9","24","2"
"189028.html","home","200","37","67","10","25","7","11","7","35","16","14","21","5"
"189029.html","away","200","26","73","9","34","11","20","12","26","25","3","12","3"
"189029.html","home","200","31","66","8","26","21","32","12","36","26","9","14","7"
"189030.html","away","200","15","52","8","30","16","25","8","30","18","4","6","1"
"189030.html","home","200","26","61","6","21","9","14","7","31","16","5","6","4"
"189031.html","away","200","23","57","6","16","8","13","5","23","20","5","14","1"
"189031.html","home","200","32","58","8","15","13","19","4","29","16","7","13","5"
"189032.html","away","200","23","51","7","25","6","9","4","28","27","7","16","4"
"189032.html","home","200","24","57","7","17","13","31","12","22","12","10","9","0"
"189033.html","away","225","21","58","4","20","9","13","17","23","15","4","17","1"
"189033.html","home","225","26","63","8","25","8","15","14","18","16","9","13","5"
"189034.html","away","225","27","70","9","26","11","19","11","32","18","8","12","7"
"189034.html","home","225","21","68","6","23","21","26","13","33","16","6","16","9"
"189035.html","away","200","23","53","5","17","22","31","13","26","18","7","15","2"
"189035.html","home","200","25","62","8","28","13","21","10","22","24","9","11","0"
"189036.html","away","200","27","75","8","33","11","18","8","20","20","7","11","1"
"189036.html","home","200","35","72","7","24","17","26","17","42","20","4","16","5"
"189037.html","away","200","21","57","5","14","11","18","5","25","21","7","16","1"
"189037.html","home","200","28","57","11","23","9","15","3","28","17","5","15","2"
"189038.html","away","200","14","55","5","22","7","8","7","15","14","9","32","2"
"189038.html","home","200","34","65","12","24","6","16","15","28","15","22","22","9"
